# device Radiacode 102 RC-102-013698
# wall_time 1783390340.7663414
# monotonic 70965.862361972
# duration 10773.0
# a0 9.753863334655762
# a1 2.369699478149414
# a2 0.0003355985973030329
channel,counts
0,93
1,123
2,144
3,155
4,163
5,152
6,155
7,145
8,172
9,164
10,151
11,176
12,182
13,195
14,237
15,228
16,269
17,296
18,352
19,381
20,388
21,453
22,473
23,521
24,525
25,558
26,578
27,589
28,612
29,668
30,580
31,602
32,655
33,613
34,621
35,608
36,581
37,605
38,597
39,566
40,562
41,544
42,564
43,518
44,527
45,509
46,491
47,431
48,466
49,441
50,451
51,441
52,384
53,413
54,390
55,385
56,376
57,371
58,374
59,304
60,341
61,351
62,315
63,290
64,283
65,296
66,264
67,234
68,245
69,243
70,259
71,225
72,213
73,219
74,211
75,189
76,209
77,205
78,185
79,190
80,172
81,156
82,156
83,159
84,146
85,168
86,140
87,154
88,132
89,135
90,125
91,113
92,105
93,127
94,108
95,121
96,116
97,101
98,102
99,77
100,98
101,93
102,68
103,85
104,80
105,82
106,72
107,67
108,63
109,70
110,64
111,56
112,68
113,58
114,63
115,60
116,53
117,46
118,53
119,53
120,47
121,54
122,37
123,55
124,49
125,40
126,49
127,47
128,48
129,56
130,43
131,31
132,45
133,39
134,35
135,46
136,33
137,47
138,37
139,33
140,31
141,33
142,30
143,45
144,30
145,31
146,28
147,35
148,32
149,38
150,24
151,22
152,19
153,16
154,21
155,15
156,12
157,19
158,19
159,14
160,18
161,24
162,23
163,19
164,16
165,19
166,23
167,21
168,20
169,15
170,20
171,13
172,16
173,18
174,21
175,13
176,19
177,22
178,15
179,12
180,30
181,13
182,13
183,15
184,15
185,15
186,13
187,14
188,13
189,9
190,16
191,12
192,16
193,12
194,7
195,9
196,13
197,11
198,10
199,9
200,11
201,10
202,12
203,9
204,12
205,12
206,9
207,11
208,4
209,8
210,11
211,13
212,10
213,7
214,4
215,6
216,14
217,10
218,9
219,12
220,6
221,13
222,13
223,6
224,4
225,8
226,11
227,12
228,6
229,4
230,7
231,5
232,12
233,11
234,15
235,9
236,12
237,4
238,9
239,18
240,5
241,11
242,15
243,9
244,6
245,14
246,11
247,8
248,12
249,8
250,10
251,8
252,5
253,4
254,10
255,7
256,5
257,7
258,8
259,10
260,9
261,3
262,3
263,8
264,9
265,11
266,9
267,3
268,6
269,3
270,4
271,6
272,3
273,6
274,9
275,2
276,7
277,4
278,4
279,3
280,5
281,7
282,2
283,5
284,5
285,6
286,11
287,4
288,7
289,8
290,3
291,7
292,6
293,10
294,3
295,8
296,5
297,7
298,9
299,4
300,10
301,5
302,1
303,7
304,3
305,3
306,8
307,3
308,6
309,3
310,8
311,5
312,3
313,9
314,2
315,7
316,2
317,3
318,6
319,6
320,4
321,5
322,6
323,2
324,1
325,4
326,2
327,4
328,3
329,3
330,2
331,4
332,4
333,3
334,6
335,6
336,2
337,3
338,4
339,5
340,7
341,8
342,3
343,6
344,1
345,3
346,1
347,3
348,3
349,1
350,3
351,4
352,7
353,3
354,4
355,5
356,2
357,4
358,5
359,6
360,4
361,2
362,6
363,3
364,9
365,6
366,3
367,1
368,7
369,2
370,10
371,4
372,6
373,3
374,3
375,3
376,1
377,4
378,2
379,4
380,3
381,1
382,6
383,4
384,3
385,3
386,3
387,2
388,2
389,2
390,2
391,4
392,6
393,5
394,4
395,1
396,1
397,4
398,4
399,3
400,5
401,1
402,2
403,0
404,6
405,5
406,1
407,2
408,0
409,3
410,5
411,0
412,2
413,0
414,2
415,3
416,6
417,2
418,3
419,1
420,1
421,4
422,5
423,1
424,3
425,3
426,1
427,2
428,2
429,4
430,2
431,3
432,3
433,4
434,2
435,4
436,1
437,6
438,1
439,4
440,5
441,2
442,3
443,1
444,0
445,4
446,4
447,4
448,2
449,2
450,2
451,4
452,2
453,6
454,2
455,2
456,7
457,0
458,3
