# device Radiacode 102 RC-102-013698
# wall_time 1783394273.2530456
# monotonic 74898.34906563
# duration 3571.0
# a0 9.753863334655762
# a1 2.369699478149414
# a2 0.0003355985973030329
channel,counts
0,85
1,124
2,189
3,305
4,463
5,761
6,1169
7,1698
8,1950
9,1907
10,1471
11,995
12,627
13,433
14,463
15,697
16,1161
17,1823
18,2773
19,4044
20,5453
21,6276
22,6837
23,6289
24,5064
25,3888
26,2597
27,1624
28,959
29,620
30,455
31,381
32,336
33,320
34,304
35,312
36,293
37,278
38,263
39,285
40,226
41,224
42,233
43,202
44,187
45,185
46,191
47,161
48,172
49,180
50,162
51,146
52,129
53,160
54,142
55,161
56,118
57,127
58,119
59,127
60,102
61,122
62,117
63,95
64,98
65,101
66,94
67,97
68,93
69,89
70,78
71,94
72,103
73,77
74,65
75,66
76,62
77,57
78,83
79,82
80,67
81,61
82,56
83,62
84,45
85,48
86,56
87,58
88,43
89,42
90,43
91,44
92,41
93,39
94,35
95,47
96,37
97,29
98,43
99,30
100,31
101,32
102,39
103,20
104,27
105,28
106,27
107,16
108,26
109,25
110,25
111,29
112,26
113,20
114,14
115,17
116,16
117,20
118,18
119,11
120,17
121,24
122,13
123,18
124,9
125,15
126,20
127,13
128,16
129,7
130,6
131,11
132,19
133,20
134,13
135,11
136,10
137,14
138,14
139,6
140,11
141,11
142,16
143,10
144,8
145,10
146,16
147,6
148,8
149,6
150,6
151,11
152,6
153,7
154,12
155,5
156,5
157,9
158,7
159,6
160,7
161,10
162,3
163,4
164,7
165,3
166,6
167,1
168,4
169,2
170,4
171,8
172,5
173,11
174,7
175,5
176,7
177,3
178,7
179,6
180,3
181,6
182,5
183,1
184,7
185,7
186,4
187,6
188,9
189,4
190,1
191,4
192,7
193,3
194,3
195,4
196,8
197,6
198,3
199,3
200,1
201,4
202,1
203,3
204,3
205,2
206,2
207,1
208,2
209,2
210,2
211,5
212,4
213,2
214,3
215,5
216,8
217,3
218,3
219,2
220,3
221,2
222,2
223,4
224,7
225,2
226,2
227,4
228,4
229,4
230,0
231,0
232,6
233,1
234,2
235,5
236,6
237,4
238,4
239,5
240,5
241,0
242,3
243,3
244,4
245,4
246,4
247,0
248,1
249,5
250,4
251,1
252,6
253,1
254,4
255,1
256,4
257,2
258,4
259,2
260,4
261,3
262,1
263,2
264,1
265,5
266,0
267,4
268,2
269,4
270,1
271,1
272,0
273,3
274,1
275,5
276,3
277,0
278,3
279,0
280,2
281,2
282,1
283,0
284,5
285,2
286,2
287,2
288,1
289,2
290,3
291,6
292,4
293,3
294,2
295,0
296,0
297,1
298,2
299,2
300,0
301,2
302,3
303,2
304,1
305,2
306,0
307,3
308,2
309,0
310,2
311,2
312,1
313,0
314,1
315,2
316,3
317,0
318,0
319,0
320,2
321,0
322,2
323,2
324,0
325,3
326,1
327,0
328,1
329,2
330,1
331,2
332,0
333,0
334,2
335,2
336,1
337,1
338,0
339,1
340,4
341,3
342,3
343,2
344,3
345,0
346,1
347,1
348,0
349,0
350,1
351,2
352,1
353,4
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,2
366,1
367,2
368,0
369,0
370,0
371,2
372,4
373,2
374,3
375,1
376,0
377,0
378,2
379,2
380,1
381,2
382,0
383,0
384,2
385,1
386,0
387,0
388,1
389,0
390,1
391,3
392,1
393,0
394,0
395,1
396,3
397,2
398,0
399,2
400,0
401,2
402,3
403,0
404,0
405,0
406,0
407,1
408,1
409,2
410,2
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,0
420,1
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,1
429,0
430,3
431,2
432,2
433,2
434,0
435,2
436,0
437,0
438,0
439,0
440,0
441,1
442,2
443,1
444,3
445,1
446,3
447,0
448,0
449,0
450,1
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,2
459,2
460,1
461,1
462,0
463,1
464,3
465,1
466,2
467,1
468,1
469,2
470,0
471,2
472,2
473,0
474,0
475,0
476,2
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,2
485,1
486,1
487,0
488,0
489,0
490,1
491,2
492,0
493,0
494,2
495,2
496,0
497,1
498,1
499,0
500,0
501,1
502,0
503,0
504,0
505,1
506,0
507,1
508,0
509,0
510,0
511,0
512,1
513,2
514,3
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,2
532,2
533,0
534,1
535,0
536,0
537,1
538,1
539,0
540,1
541,2
542,0
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,0
551,0
552,2
553,1
554,2
555,0
556,0
557,1
558,0
559,1
560,0
561,0
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,0
574,3
575,3
576,1
577,1
578,0
579,0
580,0
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,0
589,0
590,1
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,0
612,0
613,1
614,0
615,0
616,0
617,1
618,1
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,1
651,0
652,1
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,2
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,2
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,1
727,0
728,0
729,2
730,0
731,0
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,1
752,1
753,1
754,0
755,0
756,0
757,0
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,1
838,0
839,0
840,0
841,0
842,0
843,0
844,1
845,1
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,1
866,0
867,0
868,0
869,0
870,1
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,1
883,1
884,0
885,0
886,0
887,0
888,2
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,2
897,0
898,0
899,0
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,1
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,0
961,1
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,1
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,1
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,79
