pulse_count,tube_rate,wall_time,monotonic
34774,25.53,1782445046.5719798,10679.260684681
34774,25.53,1782445047.572067,10680.260771886
34775,24.818,1782445048.572059,10681.260763603
34775,24.818,1782445049.5720525,10682.260757163
34776,25.484,1782445050.572074,10683.26077897
34776,25.484,1782445051.5720527,10684.260757571
34777,25.484,1782445052.5720496,10685.260754448
34777,25.139,1782445053.5720522,10686.26075715
34778,24.623,1782445054.572076,10687.260780862
34778,24.623,1782445055.5720582,10688.26076287
34778,24.623,1782445056.572054,10689.260759202
34779,25.537,1782445057.5720558,10690.260760699
34779,25.537,1782445058.5720987,10691.260803662
34779,25.537,1782445059.572098,10692.260803074
34779,25.537,1782445060.5720556,10693.260760191
34779,25.537,1782445061.5720575,10694.260762273
34779,25.537,1782445062.5720522,10695.260756954
34779,25.537,1782445063.5720525,10696.260757091
34780,23.521,1782445064.5720654,10697.260769959
34780,23.521,1782445065.5720627,10698.26076747
34780,23.521,1782445066.5720477,10699.260752293
34780,23.521,1782445067.572048,10700.26075265
34781,22.861,1782445068.572049,10701.260753525
34782,23.158,1782445069.572052,10702.260756649
34782,23.158,1782445070.5720484,10703.260753106
34783,23.36,1782445071.5720506,10704.260755996
34784,23.305,1782445072.572047,10705.260751798
34784,23.305,1782445073.572047,10706.260751863
34785,22.862,1782445074.5720859,10707.260790951
34786,23.615,1782445075.5720527,10708.260757603
34786,23.615,1782445076.572048,10709.260752711
34786,23.615,1782445077.5720553,10710.260759995
34787,23.724,1782445078.572087,10711.260791619
34787,23.724,1782445079.5720878,10712.260792546
34789,23.366,1782445080.5720572,10713.260762271
34789,26.896,1782445081.5720572,10714.260762139
34791,30.418,1782445082.5720694,10715.260774409
34791,30.418,1782445083.5720818,10716.260786702
34791,30.418,1782445084.5720463,10717.260750887
34791,30.418,1782445085.5720496,10718.260754268
34792,28.931,1782445086.5720525,10719.260757085
34792,28.931,1782445087.5720687,10720.260773404
34793,28.98,1782445088.5720685,10721.260773155
34794,27.564,1782445089.5720718,10722.260776455
34794,27.564,1782445090.5720878,10723.260792502
34794,27.564,1782445091.5720804,10724.260785033
34794,27.564,1782445092.5720816,10725.26078651
34795,27.564,1782445093.572053,10726.26075791
34795,25.487,1782445094.5721304,10727.260835885
34795,25.487,1782445095.5720873,10728.260792163
34795,25.487,1782445096.5720816,10729.260786582
34795,25.487,1782445097.572057,10730.260761664
34795,25.487,1782445098.5720513,10731.260755978
34796,24.271,1782445099.5720592,10732.260763931
34796,24.271,1782445100.57206,10733.260764961
34796,24.271,1782445101.5720513,10734.260755872
34796,24.271,1782445102.5720708,10735.260775942
34796,24.271,1782445103.5720584,10736.26076301
34796,24.271,1782445104.572049,10737.260753548
34797,24.271,1782445105.572088,10738.260792791
34798,22.904,1782445106.5721114,10739.260816022
34798,22.904,1782445107.5720675,10740.260772436
34798,22.904,1782445108.5720556,10741.260760542
