pulse_index,dt_us,wall_time,monotonic
1,2229541,1783984376.3267732,108498.404923147
2,4921096,1783984381.2483888,108503.326538667
3,2603746,1783984383.8523316,108505.930481098
4,1271957,1783984385.1244917,108507.202641438
5,4878727,1783984390.0036263,108512.081775805
6,3338204,1783984393.342845,108515.420994591
7,167,1783984393.3430712,108515.421220617
8,5545878,1783984398.888806,108520.966955731
9,6464803,1783984405.3542418,108527.432391363
10,1818005,1783984407.1725852,108529.250734767
11,234631,1783984407.4071403,108529.485289803
12,9786478,1783984417.1946068,108539.272756513
13,473107,1783984417.6677513,108539.745901112
14,1656668,1783984419.3246963,108541.402845924
15,1328345,1783984420.653776,108542.731925485
16,169,1783984420.654044,108542.732193457
17,169427,1783984420.8226378,108542.900787394
18,762125,1783984421.584948,108543.663097875
19,10253459,1783984431.8394437,108553.917593261
20,120920,1783984431.9604528,108554.038602747
21,376156,1783984432.3364081,108554.414557533
22,4725030,1783984437.0619369,108559.140086402
23,8497301,1783984445.5607064,108567.638855969
24,171,1783984445.5608377,108567.638987049
25,1316011,1783984446.8763726,108568.954522066
26,2967437,1783984449.8441231,108571.922272726
27,907026,1783984450.7510767,108572.829226841
28,842253,1783984451.5934923,108573.671641879
29,3605255,1783984455.1991768,108577.277326175
30,827077,1783984456.026897,108578.105046498
31,161,1783984456.0270593,108578.105208838
32,1637115,1783984457.6636734,108579.741823035
33,4144186,1783984461.8083024,108583.886451856
34,3088765,1783984464.8980963,108586.976245899
35,171,1783984464.8982935,108586.976443061
36,2228674,1783984467.1263695,108589.20451911
37,2530348,1783984469.657002,108591.73515158
38,5871416,1783984475.5288453,108597.60699498
39,2188936,1783984477.7179582,108599.796107717
40,1148390,1783984478.866429,108600.944578734
41,5042400,1783984483.9092927,108605.987442503
42,4804265,1783984488.7139883,108610.792137941
43,3410306,1783984492.1245823,108614.202731962
44,126698,1783984492.2512147,108614.329364555
45,629448,1783984492.880687,108614.958836634
46,4004687,1783984496.8857777,108618.963927223
47,2214282,1783984499.101052,108621.179201603
48,172,1783984499.101175,108621.179324381
